x                      y                         z
-2.4049189703035663    -2.4003022663495153    -2.4200488930519075
3.109172649035889e+23    -1.2465181368111734e+24    -3.116986221089013e+23
1330075045355078.0    -119978568968653.06    1061944969608641.8
-73995699491882.2    -18400922585047.637    19182767599350.61
-1695192108.0811186    1691170358.2474933    -10288414.303289246
-1.0826468909483652e+18    -1.082489020035354e+18    2475611991594098.5
-2.7852824717645414e+20    2.7866578339622044e+20    -1.1129586365407124e+18
-1872638749603887.8    2820548383203719.5    -927888711507479.8
-7.135014738479674e+16    7.139014927600954e+16    89039740858500.98
-24667261042.453316    26301358396.069912    61043468198.07824
-1.0381458274090352e+17    1.021848549798463e+17    2914348206851.964
-5.404496634946973e+18    1.0835367789424033e+18    4.3267499991218396e+18
-1324.230506460033    -38167.32900705086    -2719.794349242392
8294065515.542854    8607636638.635698    1039866474.407499
-453112083.2130733    32760835968.081192    31378427100.145077
5.13297050548447e+17    -1.5156038234017654e+17    3.6009563118740525e+17
19825185807332.684    181171797271.18268    -186792996144.8901
5.835853619627579e+24    -5.855296566038367e+24    -5.856669460097791e+24
-514886213160046.4    -902543083821429.9    -632534133731066.4
1.2955527430419432e+16    4050602729895038.0    5.497501134900648e+18
-25046147488.056255    -12579125285.157652    12544508487.43943
3970145099.1477575    -24406341698778.168    24481782284345.562
-1.5061601865971053e+23    -3.0555354106167366e+23    4.571801860343249e+23
2.221901829047437e+24    2.2170902050685398e+24    -2.2238006097525646e+24
-84575.226913528    114350.89474626323    -264054.6160773544
5632777670955.972    147111543686492.2    -152952449206614.44
1.0055802626500808e+17    -5.0142643842203475e+17    4.0098467449187226e+17
-3868355361150.1035    -50645789049938.34    -28272651499887.633
-31444584427088.35    -6588982087073037.0    6575139980918526.0
-335803895021.56213    -744595970796.9031    549023450505.6164
-7.573676939155629e+18    2.0069925786223174e+17    -1.5339290291366617e+19
8.422540825424346e+20    8.325113951148456e+20    1.6713845218195944e+21
-5602013751.805714    349248451595.5315    -348793953604.27527
7.88391122715245e+23    -7.794365649324725e+20    -7.896822637221035e+23
-3.618705022828637e+24    1.4465282837385586e+25    -3.619480951001729e+24
1.5104864711793458e+16    -5277648218029122.0    -2.0248720410207436e+16
330.1243098085353    -159.81774416653894    61740.815053110826
2.1341586126939638e+18    5.3562348693201837e+17    1.599093700562256e+18
1.5356587810317455e+22    -1.552696970720392e+22    4.161706340616002e+19
1.2444721940091184e+17    -293225581350449.0    1.2410505626449658e+17
-182642458.6208959    -2436.971648014717    11394369.09529596
-3.579746886851263e+18    1.7963536949965315e+21    8.992562968514147e+20
-3.765082466303385e+19    -1.4958350939446182e+20    -3.751209600233252e+19
-7.240401167164203e+19    -1.409808188866946e+19    4.05191592693371e+19
-137332.41239837295    46833.35413520197    480115.1589465819
-4.859873062183873e+17    3.6352795696223565e+17    3.6327018599632115e+17
75727561143.35237    -41307271344.796875    -57532839514.891624
-3538044.722430032    225556.80200329894    3316096.2301275423
-1771303002376351.8    1779899096104474.0    -1766756734933697.2
4628925438555287.0    4219369248509274.5    796597042508410.0
1.6934381000633088e+18    -8.426494475515889e+17    8.436213471621546e+17
-777102771335.8389    -2180260462.113165    -233096339.09629497
12104428291084.336    -510956463483591.3    -145956980107.22824
754960150478263.6    3467055128119.214    -759877661001213.8
-13353391780046.676    -13068734932805.436    -217515692116.84262
-1.0168087427377243e+21    -1.0244233783570121e+21    3.368580647505307e+18
1.7415803076776003e+17    7.794605461996803e+19    9467809572969656.0
-8.838766615124253e+21    1.6185614327412316e+18    4.4510980243829356e+21
-1325465605.8826222    327338814.6811903    998097236.7201462
27629586433.080532    -38268158477.27255    602929554.0986392
-1975635.6205556574    -243646043.55520338    245098396.0363189
1577515747788.3489    303007519732204.1    -905278293642787.2
-29363307.99667484    12529773.629896214    16637826.514366018
-6.674173391831665e+20    2.2135315800524374e+20    -4.458587839199774e+20
378208034792.443    -43729360497.63844    48356230018.08329
-510057084767195.4    268511665791082.5    -1.4127210225814194e+16
-3.3822093976864877e+17    133183643633257.5    940699056767560.8
405032520396.8646    69501252161807.44    -69747253344846.77
-151578602367712.6    -150586324532623.1    150393185351338.1
9.840510900717064e+27    7.381544036651343e+27    -7.387498538045826e+27
36242147266109.36    26265862949561.906    -12007497155458.004
-8.896491367252402e+16    1.3024123478416914e+17    -4.098016082349588e+16
-2.494272355258998    -2.677940173078067    0.6168158748384638
4.731884372950197e+18    1.345277669894416e+21    1.3512000035007913e+21
-2463101431.78589    1083359977.507091    3217857.210102097
-143822364874.9621    -3565973848401.782    593925210.1174606
-174751613.7259121    -426979.66169638257    54064.69271550887
2.848051686892806e+18    2.8499833632700483e+18    -4525326257576930.0
7.830935700643635e+18    1.5575664165513875e+19    2.2820732364591044e+16
-437644.62437223294    436592.85900343995    -1202.826763673211
-30131.89118939156    15388.886683491932    60.7437520809474
17999045387215.01    8753203914253310.0    -624459435529277.6
-922975428858893.0    1837601758931715.8    -3149700936688.251
-1.0923829108284067e+17    1.0940140666697931e+17    56858299921643.03
-234.25309125885468    96309.96790387205    -364.0399251100535
-5779053979984168.0    15640738437885.174    -13241304429303.725
-2.226242294178255    0.24438648408279676    1.5259464173253314
667537027497087.8    660988445883502.9    368116973196.53656
1460841747906.5557    2304171583677.728    2786075105.9355793
-0.02591675867006154    -0.031157261578293786    0.7572089513040211
605175079.1558436    188347495.4885627    -62252179.54075518
2380265967815397.5    1120681951379505.2    -1186557911488921.0
5.1915967861522616e+16    -1.7771292534076787e+17    566858337276596.2
3586363987771.8076    -1785432408841.9067    -1778562159480.5513
-709758817299501.4    1425179394287774.0    -713803284279127.6
34259024681557.227    13066331856895.936    -4436238040831.064
-8.771059630652653    -0.5454183797248969    -0.837526201347892
-3709928626484.909    10068924021.155746    -1392017805309.9927
-2.4347767602341928    1.7078184473587565    1.691183841994212
5725059153.36922    5235929273.915483    -15508255.960145976
4.377638946154707e+22    -1.5166035760866506e+20    -5.582056741498143e+19
1811766.750460962    430951446.48862624    -426642125.033196
384961763681.42957    -1990064992.7805147    2225851633.036171
-0.03194256378398382    0.7944488429559654    1.6398503214557822
0.898518048003889    0.8606852103790869    0.8036631816374219
3940381479.945229    28531860.280677065    -3948814414.514344
0.8859732893307839    1.6397590230257335    1.7234106845103807
1.705922088958261    0.8620284216199472    1.625659590204838
