x                      y                         z
-2.4060704036218286    -2.4013795243058893    -2.421055976259332
3.1091726490358885e+23    -1.2465181368111734e+24    -3.116986221089014e+23
1330075045355078.2    -119978568968653.12    1061944969608641.8
-73995699491882.2    -18400922585047.637    19182767599350.61
-1695192108.081288    1691170358.2469978    -10288414.303759135
-1.082646890948365e+18    -1.082489020035354e+18    2475611991594098.5
-2.7852824717645414e+20    2.7866578339622044e+20    -1.1129586365407124e+18
-1872638749603887.8    2820548383203719.5    -927888711507479.9
-7.1350147384796744e+16    7.139014927600954e+16    89039740858500.98
-24667261042.45294    26301358396.069534    61043468198.07767
-1.0381458274090352e+17    1.021848549798463e+17    2914348206851.964
-5.404496634946973e+18    1.0835367789424033e+18    4.3267499991218396e+18
-1324.2309054637635    -38167.329145759824    -2719.7947306229426
8294065515.542286    8607636638.6357    1039866474.406658
-453112083.2138774    32760835968.081192    31378427100.14453
5.13297050548447e+17    -1.5156038234017654e+17    3.6009563118740525e+17
19825185807332.684    181171797271.18237    -186792996144.89114
5.835853619627579e+24    -5.855296566038367e+24    -5.856669460097791e+24
-514886213160046.4    -902543083821430.0    -632534133731066.2
1.2955527430419428e+16    4050602729895038.0    5.497501134900648e+18
-25046147488.055893    -12579125285.157988    12544508487.438366
3970145099.1460795    -24406341698778.156    24481782284345.562
-1.5061601865971053e+23    -3.0555354106167366e+23    4.571801860343249e+23
2.221901829047437e+24    2.2170902050685398e+24    -2.2238006097525646e+24
-84575.22726093791    114350.89485270319    -264054.61640767974
5632777670955.966    147111543686492.16    -152952449206614.44
1.0055802626500803e+17    -5.0142643842203475e+17    4.0098467449187226e+17
-3868355361150.104    -50645789049938.34    -28272651499887.637
-31444584427088.35    -6588982087073037.0    6575139980918526.0
-335803895021.5623    -744595970796.9028    549023450505.6158
-7.573676939155629e+18    2.0069925786223174e+17    -1.5339290291366617e+19
8.422540825424346e+20    8.325113951148456e+20    1.6713845218195944e+21
-5602013751.805433    349248451595.5317    -348793953604.27594
7.88391122715245e+23    -7.794365649324725e+20    -7.896822637221035e+23
-3.618705022828637e+24    1.4465282837385586e+25    -3.619480951001729e+24
1.5104864711793458e+16    -5277648218029122.0    -2.0248720410207436e+16
330.12406144698843    -159.8179919044821    61740.81497876721
2.1341586126939638e+18    5.3562348693201837e+17    1.599093700562256e+18
1.5356587810317465e+22    -1.552696970720392e+22    4.161706340615996e+19
1.2444721940091184e+17    -293225581350449.0    1.2410505626449658e+17
-182642458.62109673    -2436.972234129796    11394369.095106563
-3.579746886851263e+18    1.7963536949965315e+21    8.992562968514147e+20
-3.765082466303385e+19    -1.495835093944618e+20    -3.751209600233252e+19
-7.240401167164203e+19    -1.409808188866946e+19    4.05191592693371e+19
-137332.41219929224    46833.35354417977    480115.1587551608
-4.859873062183873e+17    3.6352795696223565e+17    3.6327018599632115e+17
75727561143.35309    -41307271344.79826    -57532839514.89164
-3538044.722175218    225556.80161808155    3316096.2301299227
-1771303002376351.8    1779899096104474.0    -1766756734933697.2
4628925438555287.0    4219369248509274.5    796597042508410.0
1.6934381000633088e+18    -8.426494475515889e+17    8.436213471621546e+17
-777102771335.8401    -2180260462.113766    -233096339.0962969
12104428291084.334    -510956463483591.3    -145956980107.22974
754960150478263.6    3467055128119.214    -759877661001213.6
-13353391780046.682    -13068734932805.436    -217515692116.84262
-1.0168087427377243e+21    -1.0244233783570121e+21    3.368580647505307e+18
1.7415803076776003e+17    7.794605461996803e+19    9467809572969654.0
-8.838766615124253e+21    1.6185614327412298e+18    4.4510980243829356e+21
