This is the file with the neighbour_list:
____________________________________________
Number of atoms: 108
Cutoff distance: 2.7
____________________________________________
Neighbour List of atom: 0

Position of atom 0: -2.519394287073761, -2.519394287073761, -2.519394287073761
Number of neighbours: 107

Index         Distances(Units L=1)
1           1.1876538565816692
2           1.1876538565816692
3           1.1876538565816692
4           1.6795961913825073
5           2.6556747570563983
6           2.057076821404572
7           2.6556747570563983
8           1.6795961913825073
9           1.1876538565816694
10           2.057076821404572
11           1.1876538565816694
12           1.6795961913825073
13           2.6556747570563983
14           2.6556747570563983
15           2.057076821404572
16           2.3753077131633384
17           3.562961569745007
18           3.1422367481418685
19           3.1422367481418685
20           2.3753077131633384
21           2.6556747570563983
22           3.1422367481418685
23           2.057076821404572
24           1.6795961913825073
25           1.1876538565816694
26           1.1876538565816694
27           2.057076821404572
28           2.3753077131633384
29           2.6556747570563983
30           2.057076821404572
31           3.1422367481418685
32           2.3753077131633384
33           1.1876538565816697
34           2.057076821404572
35           2.057076821404572
36           1.6795961913825073
37           2.057076821404572
38           2.6556747570563983
39           2.6556747570563983
40           2.3753077131633384
41           3.1422367481418685
42           3.1422367481418685
43           3.562961569745007
44           2.3753077131633384
45           2.057076821404572
46           3.1422367481418685
47           2.6556747570563983
48           2.3753077131633384
49           3.1422367481418685
50           3.562961569745007
51           3.1422367481418685
52           2.9091459396736825
53           3.9390022230999606
54           3.9390022230999606
55           3.9390022230999606
56           2.9091459396736825
57           3.1422367481418685
58           3.9390022230999606
59           3.1422367481418685
60           2.3753077131633384
61           2.057076821404572
62           2.6556747570563983
63           3.1422367481418685
64           2.9091459396736825
65           3.1422367481418685
66           3.1422367481418685
67           3.9390022230999606
68           2.9091459396736825
69           2.057076821404572
70           3.1422367481418685
71           3.1422367481418685
72           1.6795961913825073
73           2.057076821404572
74           1.1876538565816694
75           1.1876538565816694
76           2.3753077131633384
77           3.1422367481418685
78           2.057076821404572
79           2.6556747570563983
80           2.3753077131633384
81           2.057076821404572
82           2.057076821404572
83           1.1876538565816697
84           2.3753077131633384
85           3.1422367481418685
86           2.6556747570563983
87           2.057076821404572
88           2.9091459396736825
89           3.9390022230999606
90           3.1422367481418685
91           3.1422367481418685
92           2.9091459396736825
93           3.1422367481418685
94           3.1422367481418685
95           2.057076821404572
96           2.3753077131633384
97           2.057076821404572
